"Six Digit Industries","Year","Capital productivity (2007=100)","Capital productivity (percent change)","Capital (2007=100)","Capital (percent change)","Capital costs (Million $)","Capital costs (percent change)","Capital cost share","Capital cost share (percent change)","Capital intensity (2007=100)","Capital intensity (percent change)","Contribution of capital intensity (2007=100)","Contribution of capital intensity (percent change)","Labor productivity (2007=100)","Labor productivity (percent change)","Hours worked (2007=100)","Hours worked (percent change)","Labor compensation (Million $)","Labor compensation (percent change)","Labor cost share","Labor cost share (percent change)","Hours worked (millions)","Hours worked (percent change)","Multifactor productivity (2007=100)","Multifactor productivity (percent change)","Combined inputs (2007=100)","Combined inputs (percent change)","Combined inputs costs (Million $)","Combined inputs costs (percent change)","Implicit combined inputs deflator (2007=100)","Implicit combined inputs deflator (percent change)","Intermediate purchases productivity (2007=100)","Intermediate purchases productivity (percent change)","Intermediate purchases (2007=100)","Intermediate purchases (percent change)","Intermediate purchases costs (Million $)","Intermediate purchases costs (percent change)","Intermediate purchases cost share","Intermediate purchases cost share (percent change)","Intermediate purchases to hours ratio (2007=100)","Intermediate purchases to hours ratio (percent change)","Contribution of intermediate purchases intensity (2007=100)","Contribution of intermediate purchases intensity (percent change)","Output (2007=100)","Output (percent change)","Implicit output deflator (2007=100)","Implicit output deflator (percent change)","Value of production (Million $)","Value of production (percent change)","Unit labor costs (2007=100)","Unit labor costs (percent change)","Labor compensation (2007=100)","Labor compensation (percent change)","Hourly compensation (2007=100)","Hourly compensation (percent change)","Output per employee (2007=100)","Output per employee (percent change)","Employment (2007=100)","Employment (percent change)","Employment (thousands)","Employment (percent change)"
112210 - Hog and pig farming,1987,,,,,,,,,,,,,,,396.487,,,,,,407.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.743,,215.000,
112210 - Hog and pig farming,1988,,,,,,,,,,,,,,,377.160,-4.9,,,,,387.928,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.374,-3.8,206.900,-3.8
112210 - Hog and pig farming,1989,,,,,,,,,,,,,,,363.256,-3.7,,,,,373.627,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.357,-4.7,197.100,-4.7
112210 - Hog and pig farming,1990,,,,,,,,,,,,,,,342.161,-5.8,,,,,351.930,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.126,-5.0,187.200,-5.0
112210 - Hog and pig farming,1991,,,,,,,,,,,,,,,332.848,-2.7,,,,,342.352,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.744,-4.4,179.100,-4.3
112210 - Hog and pig farming,1992,,,,,,,,,,,,,,,313.937,-5.7,,,,,322.901,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.897,-4.7,170.600,-4.7
112210 - Hog and pig farming,1993,,,,,,,,,,,,,,,291.549,-7.1,,,,,299.874,-7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.287,-7.0,158.700,-7.0
112210 - Hog and pig farming,1994,,,,,,,,,,,,,,,259.527,-11.0,,,,,266.937,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.660,-7.5,146.700,-7.6
112210 - Hog and pig farming,1995,,,,,,,,,,,,,,,248.757,-4.1,,,,,255.860,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.087,-4.8,139.700,-4.8
112210 - Hog and pig farming,1996,,,,,,,,,,,,,,,221.479,-11.0,,,,,227.803,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.757,-9.3,126.700,-9.3
112210 - Hog and pig farming,1997,,,,,,,,,,,,,,,165.984,-25.1,,,,,170.723,-25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.117,-18.6,103.100,-18.6
112210 - Hog and pig farming,1998,,,,,,,,,,,,,,,209.525,26.2,,,,,215.507,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.886,14.1,117.600,14.1
112210 - Hog and pig farming,1999,,,,,,,,,,,,,,,161.636,-22.9,,,,,166.251,-22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.310,-27.8,84.900,-27.8
112210 - Hog and pig farming,2000,,,,,,,,,,,,,,,136.205,-15.7,,,,,140.094,-15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.530,-14.2,72.900,-14.1
112210 - Hog and pig farming,2001,,,,,,,,,,,,,,,124.237,-8.8,,,,,127.785,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.415,-9.3,66.100,-9.3
112210 - Hog and pig farming,2002,,,,,,,,,,,,,,,114.130,-8.1,,,,,117.388,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.546,3.8,68.600,3.8
112210 - Hog and pig farming,2003,,,,,,,,,,,,,,,87.720,-23.1,,,,,90.225,-23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.708,-27.4,49.800,-27.4
112210 - Hog and pig farming,2004,,,,,,,,,,,,,,,118.433,35.0,,,,,121.814,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.689,46.5,73.000,46.6
112210 - Hog and pig farming,2005,,,,,,,,,,,,,,,96.654,-18.4,,,,,99.413,-18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.038,-24.8,54.900,-24.8
112210 - Hog and pig farming,2006,,,,,,,,,,,,,,,80.646,-16.6,,,,,82.949,-16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.019,-18.9,44.500,-18.9
112210 - Hog and pig farming,2007,,,,,,,,,,,,,,,100.000,24.0,,,,,102.855,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,37.0,61.000,37.1
112210 - Hog and pig farming,2008,,,,,,,,,,,,,,,89.489,-10.5,,,,,92.044,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.480,-13.5,52.700,-13.6
112210 - Hog and pig farming,2009,,,,,,,,,,,,,,,84.085,-6.0,,,,,86.486,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.759,0.3,52.900,0.4
112210 - Hog and pig farming,2010,,,,,,,,,,,,,,,100.735,19.8,,,,,103.611,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.388,18.0,62.400,18.0
112210 - Hog and pig farming,2011,,,,,,,,,,,,,,,72.730,-27.8,,,,,74.806,-27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.193,-33.4,41.600,-33.3
112210 - Hog and pig farming,2012,,,,,,,,,,,,,,,84.569,16.3,,,,,86.984,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.946,12.8,46.900,12.7
112210 - Hog and pig farming,2013,,,,,,,,,,,,,,,87.985,4.0,,,,,90.497,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.095,19.7,56.100,19.6
112210 - Hog and pig farming,2014,,,,,,,,,,,,,,,85.318,-3.0,,,,,87.754,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.012,-13.1,48.800,-13.0
112210 - Hog and pig farming,2015,,,,,,,,,,,,,,,89.931,5.4,,,,,92.499,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.366,19.2,58.100,19.1
112210 - Hog and pig farming,2016,,,,,,,,,,,,,,,85.476,-5.0,,,,,87.916,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.563,-13.4,50.300,-13.4
112210 - Hog and pig farming,2017,,,,,,,,,,,,,,,83.890,-1.9,,,,,86.285,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.876,6.4,53.600,6.6
112210 - Hog and pig farming,2018,,,,,,,,,,,,,,,86.100,2.6,,,,,88.558,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.493,13.2,60.700,13.2
112210 - Hog and pig farming,2019,,,,,,,,,,,,,,,65.098,-24.4,,,,,66.957,-24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.206,-37.5,37.900,-37.6
112210 - Hog and pig farming,2020,,,,,,,,,,,,,,,69.675,7.0,,,,,71.664,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.254,4.9,39.800,5.0
113110 - Timber tract operations,1987,,,,,,,,,,,,,,,104.399,,,,,,14.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.020,,9.400,
113110 - Timber tract operations,1988,,,,,,,,,,,,,,,109.421,4.8,,,,,15.699,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.613,4.3,9.800,4.3
113110 - Timber tract operations,1989,,,,,,,,,,,,,,,111.609,2.0,,,,,16.013,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.751,0.1,9.800,0.0
113110 - Timber tract operations,1990,,,,,,,,,,,,,,,112.513,0.8,,,,,16.143,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.197,-3.2,9.500,-3.1
113110 - Timber tract operations,1991,,,,,,,,,,,,,,,119.030,5.8,,,,,17.078,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.778,9.7,10.400,9.5
113110 - Timber tract operations,1992,,,,,,,,,,,,,,,114.484,-3.8,,,,,16.426,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.824,-5.0,9.900,-4.8
113110 - Timber tract operations,1993,,,,,,,,,,,,,,,108.085,-5.6,,,,,15.507,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.020,-5.1,9.400,-5.1
113110 - Timber tract operations,1994,,,,,,,,,,,,,,,109.307,1.1,,,,,15.683,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.706,15.4,10.800,14.9
113110 - Timber tract operations,1995,,,,,,,,,,,,,,,112.217,2.7,,,,,16.100,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.039,-9.4,9.800,-9.3
113110 - Timber tract operations,1996,,,,,,,,,,,,,,,98.251,-12.4,,,,,14.097,-12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.574,-4.0,9.400,-4.1
113110 - Timber tract operations,1997,,,,,,,,,,,,,,,97.742,-0.5,,,,,14.024,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.474,-1.9,9.200,-2.1
113110 - Timber tract operations,1998,,,,,,,,,,,,,,,87.660,-10.3,,,,,12.577,-10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.250,-9.6,8.300,-9.8
113110 - Timber tract operations,1999,,,,,,,,,,,,,,,85.527,-2.4,,,,,12.271,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.161,-2.2,8.200,-1.2
113110 - Timber tract operations,2000,,,,,,,,,,,,,,,85.513,0.0,,,,,12.269,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.111,5.3,8.600,4.9
113110 - Timber tract operations,2001,,,,,,,,,,,,,,,82.761,-3.2,,,,,11.874,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.064,-18.2,7.000,-18.6
113110 - Timber tract operations,2002,,,,,,,,,,,,,,,103.612,25.2,,,,,14.866,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.841,9.6,7.700,10.0
113110 - Timber tract operations,2003,,,,,,,,,,,,,,,96.035,-7.3,,,,,13.779,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.027,20.5,9.300,20.8
113110 - Timber tract operations,2004,,,,,,,,,,,,,,,105.488,9.8,,,,,15.135,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.564,18.3,11.000,18.3
113110 - Timber tract operations,2005,,,,,,,,,,,,,,,76.922,-27.1,,,,,11.036,-27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.177,-24.8,8.200,-25.5
113110 - Timber tract operations,2006,,,,,,,,,,,,,,,84.942,10.4,,,,,12.187,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.830,-3.5,8.000,-2.4
113110 - Timber tract operations,2007,,,,,,,,,,,,,,,100.000,17.7,,,,,14.347,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,8.9,8.700,8.8
113110 - Timber tract operations,2008,,,,,,,,,,,,,,,111.783,11.8,,,,,16.038,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.205,17.2,10.200,17.2
113110 - Timber tract operations,2009,,,,,,,,,,,,,,,66.224,-40.8,,,,,9.501,-40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.848,-32.7,6.800,-33.3
113110 - Timber tract operations,2010,,,,,,,,,,,,,,,58.696,-11.4,,,,,8.421,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.746,-33.1,4.600,-32.4
113110 - Timber tract operations,2011,,,,,,,,,,,,,,,84.865,44.6,,,,,12.176,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.199,69.1,7.700,67.4
113110 - Timber tract operations,2012,,,,,,,,,,,,,,,73.203,-13.7,,,,,10.503,-13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.341,-8.8,7.000,-9.1
113110 - Timber tract operations,2013,,,,,,,,,,,,,,,80.070,9.4,,,,,11.488,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.702,-5.7,6.600,-5.7
113110 - Timber tract operations,2014,,,,,,,,,,,,,,,84.035,5.0,,,,,12.057,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.037,4.3,6.900,4.5
113110 - Timber tract operations,2015,,,,,,,,,,,,,,,91.615,9.0,,,,,13.144,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.283,1.6,7.000,1.4
113110 - Timber tract operations,2016,,,,,,,,,,,,,,,86.661,-5.4,,,,,12.434,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.790,-6.8,6.600,-5.7
113110 - Timber tract operations,2017,,,,,,,,,,,,,,,88.069,1.6,,,,,12.636,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.504,27.3,8.400,27.3
113110 - Timber tract operations,2018,,,,,,,,,,,,,,,71.453,-18.9,,,,,10.252,-18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.825,-27.6,6.100,-27.4
113110 - Timber tract operations,2019,,,,,,,,,,,,,,,85.316,19.4,,,,,12.241,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.684,28.4,7.800,27.9
113110 - Timber tract operations,2020,,,,,,,,,,,,,,,79.510,-6.8,,,,,11.408,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.291,-0.4,7.700,-1.3
113210 - Forest nurseries and gathering of forest products,1987,,,,,,,,,,,,,,,41.543,,,,,,3.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.036,,2.500,
113210 - Forest nurseries and gathering of forest products,1988,,,,,,,,,,,,,,,46.453,11.8,,,,,4.432,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.266,12.2,2.800,12.0
113210 - Forest nurseries and gathering of forest products,1989,,,,,,,,,,,,,,,47.828,3.0,,,,,4.563,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.213,-0.1,2.800,0.0
113210 - Forest nurseries and gathering of forest products,1990,,,,,,,,,,,,,,,50.109,4.8,,,,,4.780,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.353,0.3,2.800,0.0
113210 - Forest nurseries and gathering of forest products,1991,,,,,,,,,,,,,,,51.985,3.7,,,,,4.959,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.240,8.0,3.000,7.1
113210 - Forest nurseries and gathering of forest products,1992,,,,,,,,,,,,,,,56.435,8.6,,,,,5.384,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.144,7.5,3.200,6.7
113210 - Forest nurseries and gathering of forest products,1993,,,,,,,,,,,,,,,58.623,3.9,,,,,5.593,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.515,4.2,3.400,6.3
113210 - Forest nurseries and gathering of forest products,1994,,,,,,,,,,,,,,,56.556,-3.5,,,,,5.395,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.191,11.4,3.700,8.8
113210 - Forest nurseries and gathering of forest products,1995,,,,,,,,,,,,,,,60.948,7.8,,,,,5.814,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.635,-5.5,3.500,-5.4
113210 - Forest nurseries and gathering of forest products,1996,,,,,,,,,,,,,,,59.298,-2.7,,,,,5.657,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.173,5.7,3.700,5.7
113210 - Forest nurseries and gathering of forest products,1997,,,,,,,,,,,,,,,60.671,2.3,,,,,5.788,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.219,1.6,3.800,2.7
113210 - Forest nurseries and gathering of forest products,1998,,,,,,,,,,,,,,,56.316,-7.2,,,,,5.373,-7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.652,-6.9,3.500,-7.9
113210 - Forest nurseries and gathering of forest products,1999,,,,,,,,,,,,,,,61.554,9.3,,,,,5.872,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.666,9.8,3.900,11.4
113210 - Forest nurseries and gathering of forest products,2000,,,,,,,,,,,,,,,72.121,17.2,,,,,6.880,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.190,24.4,4.800,23.1
113210 - Forest nurseries and gathering of forest products,2001,,,,,,,,,,,,,,,77.870,8.0,,,,,7.429,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.253,-8.2,4.400,-8.3
113210 - Forest nurseries and gathering of forest products,2002,,,,,,,,,,,,,,,114.032,46.4,,,,,10.879,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.170,27.1,5.600,27.3
113210 - Forest nurseries and gathering of forest products,2003,,,,,,,,,,,,,,,99.706,-12.6,,,,,9.512,-12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.713,13.8,6.400,14.3
113210 - Forest nurseries and gathering of forest products,2004,,,,,,,,,,,,,,,115.319,15.7,,,,,11.001,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.958,24.4,8.000,25.0
113210 - Forest nurseries and gathering of forest products,2005,,,,,,,,,,,,,,,80.298,-30.4,,,,,7.660,-30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.477,-28.4,5.700,-28.8
113210 - Forest nurseries and gathering of forest products,2006,,,,,,,,,,,,,,,84.127,4.8,,,,,8.026,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.895,-7.6,5.300,-7.0
113210 - Forest nurseries and gathering of forest products,2007,,,,,,,,,,,,,,,100.000,18.9,,,,,9.540,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,8.8,5.700,7.5
113210 - Forest nurseries and gathering of forest products,2008,,,,,,,,,,,,,,,108.709,8.7,,,,,10.371,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.799,14.8,6.600,15.8
113210 - Forest nurseries and gathering of forest products,2009,,,,,,,,,,,,,,,79.668,-26.7,,,,,7.600,-26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.113,-16.3,5.500,-16.7
113210 - Forest nurseries and gathering of forest products,2010,,,,,,,,,,,,,,,72.438,-9.1,,,,,6.911,-9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.348,-32.0,3.700,-32.7
113210 - Forest nurseries and gathering of forest products,2011,,,,,,,,,,,,,,,108.163,49.3,,,,,10.319,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.659,75.5,6.600,78.4
113210 - Forest nurseries and gathering of forest products,2012,,,,,,,,,,,,,,,90.263,-16.5,,,,,8.611,-16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.645,-12.2,5.800,-12.1
113210 - Forest nurseries and gathering of forest products,2013,,,,,,,,,,,,,,,76.786,-14.9,,,,,7.325,-14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.314,-27.2,4.200,-27.6
113210 - Forest nurseries and gathering of forest products,2014,,,,,,,,,,,,,,,74.767,-2.6,,,,,7.133,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.379,-2.6,4.100,-2.4
113210 - Forest nurseries and gathering of forest products,2015,,,,,,,,,,,,,,,89.424,19.6,,,,,8.531,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.024,12.1,4.600,12.2
113210 - Forest nurseries and gathering of forest products,2016,,,,,,,,,,,,,,,85.291,-4.6,,,,,8.137,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.196,-6.0,4.300,-6.5
113210 - Forest nurseries and gathering of forest products,2017,,,,,,,,,,,,,,,96.315,12.9,,,,,9.188,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.484,41.6,6.100,41.9
113210 - Forest nurseries and gathering of forest products,2018,,,,,,,,,,,,,,,70.927,-26.4,,,,,6.766,-26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.095,-35.1,4.000,-34.4
113210 - Forest nurseries and gathering of forest products,2019,,,,,,,,,,,,,,,83.242,17.4,,,,,7.941,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.025,27.4,5.100,27.5
113210 - Forest nurseries and gathering of forest products,2020,,,,,,,,,,,,,,,76.415,-8.2,,,,,7.290,-8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.404,-1.8,5.000,-2.0
113310 - Logging,1987,,,,,,,,,,,,,,,129.113,,,,,,229.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.872,,127.200,
113310 - Logging,1988,,,,,,,,,,,,,,,135.345,4.8,,,,,240.905,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.835,4.1,132.400,4.1
113310 - Logging,1989,,,,,,,,,,,,,,,139.638,3.2,,,,,248.546,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.638,0.5,133.100,0.5
113310 - Logging,1990,,,,,,,,,,,,,,,135.314,-3.1,,,,,240.849,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.032,-1.1,131.700,-1.1
113310 - Logging,1991,,,,,,,,,,,,,,,125.428,-7.3,,,,,223.254,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.807,-4.8,125.400,-4.8
113310 - Logging,1992,,,,,,,,,,,,,,,128.696,2.6,,,,,229.070,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.839,0.7,126.300,0.7
113310 - Logging,1993,,,,,,,,,,,,,,,137.626,6.9,,,,,244.965,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.982,5.6,133.400,5.6
113310 - Logging,1994,,,,,,,,,,,,,,,125.552,-8.8,,,,,223.474,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.890,-6.6,124.600,-6.6
113310 - Logging,1995,,,,,,,,,,,,,,,139.478,11.1,,,,,248.262,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.142,10.7,137.900,10.7
113310 - Logging,1996,,,,,,,,,,,,,,,131.832,-5.5,,,,,234.652,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.954,-8.3,126.400,-8.3
113310 - Logging,1997,,,,,,,,,,,,,,,131.128,-0.5,,,,,233.399,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.904,1.3,128.100,1.3
113310 - Logging,1998,,,,,,,,,,,,,,,129.515,-1.2,,,,,230.527,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.706,0.5,128.800,0.5
113310 - Logging,1999,,,,,,,,,,,,,,,132.859,2.6,,,,,236.479,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.954,-1.9,126.400,-1.9
113310 - Logging,2000,,,,,,,,,,,,,,,137.334,3.4,,,,,244.446,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.954,0.0,126.400,0.0
113310 - Logging,2001,,,,,,,,,,,,,,,115.499,-15.9,,,,,205.581,-15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.638,-11.9,111.300,-11.9
113310 - Logging,2002,,,,,,,,,,,,,,,107.443,-7.0,,,,,191.241,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.743,-8.5,101.800,-8.5
113310 - Logging,2003,,,,,,,,,,,,,,,103.772,-3.4,,,,,184.707,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.858,0.1,101.900,0.1
113310 - Logging,2004,,,,,,,,,,,,,,,105.226,1.4,,,,,187.295,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.794,-1.8,100.100,-1.8
113310 - Logging,2005,,,,,,,,,,,,,,,95.120,-9.6,,,,,169.307,-9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.179,-11.0,89.100,-11.0
113310 - Logging,2006,,,,,,,,,,,,,,,99.222,4.3,,,,,176.608,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.798,5.5,94.000,5.5
113310 - Logging,2007,,,,,,,,,,,,,,,100.000,0.8,,,,,177.993,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,-7.2,87.200,-7.2
113310 - Logging,2008,,,,,,,,,,,,,,,94.949,-5.1,,,,,169.004,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.954,-5.0,82.800,-5.0
113310 - Logging,2009,,,,,,,,,,,,,,,79.266,-16.5,,,,,141.087,-16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.046,-15.7,69.800,-15.7
113310 - Logging,2010,,,,,,,,,,,,,,,83.020,4.7,,,,,147.770,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.275,0.3,70.000,0.3
113310 - Logging,2011,,,,,,,,,,,,,,,82.235,-0.9,,,,,146.373,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.849,0.7,70.500,0.7
113310 - Logging,2012,,,,,,,,,,,,,,,76.062,-7.5,,,,,135.386,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.784,-2.6,68.700,-2.6
113310 - Logging,2013,,,,,,,,,,,,,,,84.465,11.0,,,,,150.342,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.844,11.5,76.600,11.5
